Product Name,Price,Rating
Lyons GK-012 Stainless Steel Double Burner Gas Cooker Table Top Gas Stove -Grey (1YR WRTY),"KSh 1,449",3.7 out of 5
Hikers 43'' Inch Frameless Android Smart FHD LED TV With Bluetooth - Black,"KSh 16,900",4.1 out of 5
Bluetooth Selfie Stick Tripod + Fill Light +Shutter Remote,KSh 362,3.7 out of 5
Geemy Electric Hair Clipper Barbering Machine - Kinyozi / Electric Hair Trimmer Barbering Machine - Kinyozi,KSh 940,3.9 out of 5
Oraimo Powerbank  20000mAh - Black,"KSh 1,750",4.3 out of 5
Mosquito Net With Metallic Stand - Pink,"KSh 1,199",4 out of 5
Magnetic Sport Neckband Neck-hanging Blutooth Headset,KSh 508,3.4 out of 5
Top Fry Top Fry Vegetable Oil 3L + Free 500g Margarine,KSh 799,4.4 out of 5
TiLECC F9 Fingerprint Touch Bluetooth Earphone Earbuds 2200mAH,KSh 459,3.8 out of 5
Mythco 25-in-1 Small Precision Screwdriver Set Magnetic Mini Repair Tool Kit,KSh 362,4.4 out of 5
RichRipple 180 °Rotatable Phone Holder Retractable Disc Base Phone Stand,KSh 273,3.8 out of 5
